subjID	social_distance	amount_self	amount_default	amount_other	choice	totalFairseq
5	50	25	20	20	0	1
5	20	25	20	20	0	1
5	100	43	20	20	0	1
5	100	19	20	20	1	1
5	5	37	20	20	0	1
5	20	31	20	20	0	1
5	10	43	20	20	0	1
5	1	19	20	20	1	1
5	50	31	20	20	0	1
6	50	43	20	20	0	1
6	10	25	20	20	1	1
6	100	19	20	20	0	1
6	5	19	20	20	1	1
6	1	19	20	20	1	1
6	20	31	20	20	1	1
6	5	25	20	20	1	1
6	1	37	20	20	1	1
6	100	37	20	20	0	1
6	50	37	20	20	0	1
6	10	19	20	20	1	1
6	20	43	20	20	1	1
6	10	43	20	20	1	1
6	50	31	20	20	0	1
6	100	25	20	20	0	1
6	20	19	20	20	1	1
6	5	37	20	20	1	1
6	1	25	20	20	0	1
6	10	31	20	20	1	1
6	5	43	20	20	1	1
6	50	19	20	20	0	1
6	100	43	20	20	0	1
6	20	37	20	20	1	1
6	1	31	20	20	1	1
6	10	37	20	20	1	1
6	50	25	20	20	0	1
6	20	25	20	20	1	1
6	100	31	20	20	0	1
6	1	43	20	20	1	1
6	5	31	20	20	1	1
6	5	19	20	20	1	1
6	20	31	20	20	1	1
6	50	43	20	20	0	1
6	1	37	20	20	1	1
6	10	43	20	20	1	1
6	100	31	20	20	0	1
6	100	37	20	20	0	1
6	10	19	20	20	1	1
6	5	25	20	20	1	1
6	20	19	20	20	1	1
6	50	19	20	20	0	1
6	1	25	20	20	1	1
6	10	37	20	20	1	1
6	100	25	20	20	0	1
6	5	31	20	20	1	1
6	50	37	20	20	0	1
6	1	19	20	20	1	1
6	20	43	20	20	1	1
6	20	25	20	20	1	1
6	50	31	20	20	0	1
6	1	43	20	20	1	1
6	10	31	20	20	1	1
6	100	43	20	20	0	1
6	5	37	20	20	1	1
6	100	19	20	20	0	1
6	10	25	20	20	1	1
6	20	37	20	20	1	1
6	5	43	20	20	1	1
6	1	31	20	20	1	1
6	50	25	20	20	0	1
6	5	31	10	30	0	0
6	20	31	10	30	0	0
6	50	43	10	30	0	0
6	10	25	10	30	0	0
6	1	37	10	30	0	0
6	100	31	10	30	0	0
6	20	37	10	30	0	0
6	10	43	10	30	0	0
6	100	25	10	30	0	0
6	1	31	10	30	0	0
6	5	19	10	30	1	0
6	50	31	10	30	0	0
6	5	43	10	30	0	0
6	20	19	10	30	1	0
6	100	19	10	30	0	0
6	10	31	10	30	0	0
6	50	19	10	30	0	0
6	1	19	10	30	1	0
6	20	25	10	30	0	0
6	100	43	10	30	0	0
6	50	25	10	30	0	0
6	10	19	10	30	1	0
6	5	25	10	30	0	0
6	1	25	10	30	0	0
6	10	37	10	30	0	0
6	1	43	10	30	0	0
6	100	37	10	30	0	0
6	50	37	10	30	0	0
6	5	37	10	30	0	0
6	20	43	10	30	0	0
6	100	31	10	30	0	0
6	1	19	10	30	1	0
6	10	31	10	30	0	0
6	5	19	10	30	1	0
6	50	37	10	30	0	0
6	20	25	10	30	1	0
6	10	43	10	30	0	0
6	5	31	10	30	0	0
6	100	43	10	30	0	0
6	1	31	10	30	0	0
6	50	43	10	30	0	0
6	20	31	10	30	0	0
6	20	37	10	30	0	0
6	10	37	10	30	0	0
6	1	25	10	30	1	0
6	100	37	10	30	0	0
6	50	31	10	30	0	0
6	5	43	10	30	0	0
6	1	37	10	30	0	0
6	20	43	10	30	0	0
6	100	25	10	30	0	0
6	50	19	10	30	0	0
6	10	19	10	30	1	0
6	5	37	10	30	0	0
6	5	25	10	30	1	0
6	1	43	10	30	0	0
6	50	25	10	30	0	0
6	10	25	10	30	1	0
6	100	19	10	30	0	0
6	20	19	10	30	1	0
7	5	37	20	20	1	1
7	100	31	20	20	0	1
7	50	31	20	20	0	1
7	10	43	20	20	1	1
7	20	31	20	20	0	1
7	1	25	20	20	1	1
7	100	25	20	20	0	1
7	5	31	20	20	1	1
7	1	37	20	20	1	1
7	50	43	20	20	0	1
7	10	19	20	20	1	1
7	20	37	20	20	0	1
7	1	19	20	20	1	1
7	100	19	20	20	0	1
7	50	25	20	20	0	1
7	5	25	20	20	1	1
7	10	37	20	20	1	1
7	20	19	20	20	0	1
7	10	31	20	20	1	1
7	100	43	20	20	0	1
7	1	31	20	20	1	1
7	5	19	20	20	1	1
7	20	25	20	20	0	1
7	50	19	20	20	0	1
7	10	25	20	20	1	1
7	1	43	20	20	1	1
7	5	43	20	20	1	1
7	50	37	20	20	0	1
7	100	37	20	20	0	1
7	20	43	20	20	0	1
7	10	43	10	30	1	0
7	20	19	10	30	0	0
7	50	25	10	30	0	0
7	1	43	10	30	1	0
7	100	31	10	30	0	0
7	5	31	10	30	1	0
7	10	37	10	30	1	0
7	1	25	10	30	1	0
7	5	37	10	30	1	0
7	20	37	10	30	0	0
7	100	37	10	30	0	0
7	50	37	10	30	0	0
7	100	43	10	30	0	0
7	50	19	10	30	0	0
7	20	31	10	30	0	0
7	1	31	10	30	1	0
7	5	25	10	30	1	0
7	10	19	10	30	1	0
7	5	43	10	30	1	0
7	10	25	10	30	1	0
7	20	25	10	30	0	0
7	100	19	10	30	0	0
7	1	19	10	30	1	0
7	50	31	10	30	0	0
